Incident Type,Location,Borough,Creation Date,Closed Date,Latitude,Longitude
Fire-3rd Alarm,128-20 14th Avenue,New York City,42024.3367,42026.85049,40.78537397,-73.8400305
Fire-4th Alarm,114-30 158 street,Queens,42026.57464,42026.79145,40.68739098,-73.78888866
Fire-2nd Alarm,192 Victory Boulevard,Staten Island,42026.42755,42026.63932,40.6363723,-74.08221909
Fire-3rd Alarm,34-40 100th Street,Queens,42024.93674,42025.8234,40.75432148,-73.86796527
Law Enforcement-Device,46-43 189th Street,Queens,42024.51682,42024.82424,40.7515289,-73.79069047
Fire-5th Alarm,2681 Atlantic Avenue,Brooklyn,42022.43351,42023.51091,40.67594641,-73.89536507
Fire-Other,Riverside Drive & West 155th Street,Manhattan,42023.19111,42023.2447,40.834116,-73.948401
Fire-5th Alarm,2681 Atlantic Avenue,Brooklyn,42022.43351,42022.80454,40.67594641,-73.89536507
Fire-2nd Alarm,166-11 91 Avenue,Queens,42019.98973,42021.86334,40.70673504,-73.79397466
Fire-Other,Brooklyn Queens Expressway  & Queens Boulevard,Queens,42021.38065,42021.41705,40.74075,-73.8988425
Law Enforcement-Other,,Brooklyn,42020.45909,42020.51429,,
Fire-2nd Alarm,120-18 101 Avenue,Queens,42019.29465,42020.23325,40.69043813,-73.82417556
Law Enforcement-Device,Broadway & Exchange Place,Brooklyn,42019.69949,42019.77807,40.70682,-74.012472
Fire-2nd Alarm,100 West 83 Street,Manhattan,42014.50941,42016.63376,,
Fire-2nd Alarm,100 West 83 Street,Manhattan,42014.50941,42014.80238,,
Fire-2nd Alarm,359 6th avenue,New York City,42014.60212,42014.65676,40.73219421,-74.00063692
Law Enforcement-Suspicious Package,1231 Lafayette Avenue,Bronx,41976.60777,42014.37781,40.81646146,-73.8908144
Fire-2nd Alarm,90-43 204 st,Queens,42013.22992,42013.94529,40.71630442,-73.75810677
Law Enforcement-Device,12-10 30th Avenue,Queens,42013.45464,42013.49098,40.77129998,-73.93097459
Fire-2nd Alarm,115-36 159 Street,Queens,42010.21535,42010.55947,40.68648101,-73.78594672
Fire-2nd Alarm,79 Monroe Avenue,Staten Island,42004.26872,42010.38603,40.63980352,-74.07911708
Fire-10-76 (Commercial High Rise Fire),110 William Street,Manhattan,42007.21582,42008.04159,40.70875519,-74.00719194
Fire-2nd Alarm,601 West 180th,New York City,42006.90854,42007.09184,40.84879519,-73.93454937
Fire-Sensitive Location,55 Central Park North,Manhattan,42005.89388,42005.97132,40.79807318,-73.95200242
Fire-Other,271 garfield place,Brooklyn,42005.82507,42005.96671,40.67107882,-73.97450114
Fire-2nd Alarm,226-08 141st Avenue,Queens,42005.47899,42005.58457,40.66882946,-73.74878303
Fire-2nd Alarm,166 Henry Street,Manhattan,42003.2341,42003.93063,40.71343559,-73.98912913
Law Enforcement-Suspicious Package,West 49 Street & 7th Avenue,Manhattan,42003.58541,42003.61483,40.760433,-73.983681
Fire-2nd Alarm,2363 Southern Boulevard,Bronx,41999.73076,41999.85491,40.85286963,-73.8818776
Fire-2nd Alarm,220 Montgomery Street,Brooklyn,41998.51749,41998.6413,40.66571586,-73.95739575
Fire-2nd Alarm,220 Montgomery Street,Brooklyn,41998.53221,41998.54027,40.66571586,-73.95739575
Law Enforcement-Suspicious Package,208 West 23rd Street,Manhattan,41991.47104,41998.48971,40.74432688,-73.99628249
